Z:\home\cetin\projects\elkarto\esp32\laptop>python monitor.py
connecting to ws://192.168.4.1:81 ...
connected. type: kp <kp> <ki> <kd>  to push new PID gains
[11:43:11] gas=2094 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2114 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2112 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2112 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2107 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2112 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2107 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2108 brake=3361 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2103 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2101 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2092 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2100 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2103 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2102 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2100 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2100 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2102 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2109 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:11] gas=2102 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2104 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2103 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2103 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2098 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2104 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2096 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2103 brake=3364 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2098 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2102 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2096 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
